ID(序號),位置(Location),Area(行政區),Address(地址),Longitude(經度),Latitude(緯度),,,,,
11,萬芳4號公園,文山區,臺北市文山區萬和街1號對面,121.56839,25.00121,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56839, 25.00121]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@萬芳4號公園@@,
				@@address@@: @@臺北市文山區萬和街1號對面@@,
				@@area@@: @@文山區@@
			},
			@@bbox@@: [121.56839, 25.00121, 121.56839, 25.00121]
		},",,士林區,11
12,樂活公園,內湖區,臺北市內湖區康樂街61巷15號旁,121.6186,25.06819,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.6186, 25.06819]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@樂活公園@@,
				@@address@@: @@臺北市內湖區康樂街61巷15號旁@@,
				@@area@@: @@內湖區@@
			},
			@@bbox@@: [121.6186, 25.06819, 121.6186, 25.06819]
		},",,中正區,3
13,興隆公園,文山區,臺北市文山區興隆路2段154巷與仙岩路交口,121.55175,24.99998,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.55175, 24.99998]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@興隆公園@@,
				@@address@@: @@臺北市文山區興隆路2段154巷與仙岩路交口@@,
				@@area@@: @@文山區@@
			},
			@@bbox@@: [121.55175, 24.99998, 121.55175, 24.99998]
		},",,,
14,大港墘公園,內湖區,臺北市內湖區瑞光路393巷旁,121.57374,25.07799,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.57374, 25.07799]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@大港墘公園@@,
				@@address@@: @@臺北市內湖區瑞光路393巷旁@@,
				@@area@@: @@內湖區@@
			},
			@@bbox@@: [121.57374, 25.07799, 121.57374, 25.07799]
		},",,,
15,眷村文化公園,信義區,臺北市信義區松勤路與莊敬路交口(信義國小西側),121.56262,25.03013,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56262, 25.03013]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@眷村文化公園@@,
				@@address@@: @@臺北市信義區松勤路與莊敬路交口(信義國小西側)@@,
				@@area@@: @@信義區@@
			},
			@@bbox@@: [121.56262, 25.03013, 121.56262, 25.03013]
		},",,,
16,景華公園,文山區,臺北市文山區景興路與景華街交口,121.54318,24.99574,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.54318, 24.99574]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@景華公園@@,
				@@address@@: @@臺北市文山區景興路與景華街交口@@,
				@@area@@: @@文山區@@
			},
			@@bbox@@: [121.54318, 24.99574, 121.54318, 24.99574]
		},",,,
17,明水公園,中山區,臺北市中山區北安路538巷1弄,121.54869,25.07912,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.54869, 25.07912]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@明水公園@@,
				@@address@@: @@臺北市中山區北安路538巷1弄@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.54869, 25.07912, 121.54869, 25.07912]
		},",,,
18,三民公園,松山區,臺北市松山區三民路、撫遠街298號,121.56744,25.06185,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56744, 25.06185]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@三民公園@@,
				@@address@@: @@臺北市松山區三民路、撫遠街298號@@,
				@@area@@: @@松山區@@
			},
			@@bbox@@: [121.56744, 25.06185, 121.56744, 25.06185]
		},",,,
19,聯成公園,南港區,臺北市南港區忠孝東路6段250巷1弄,121.58887,25.04829,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.58887, 25.04829]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@聯成公園@@,
				@@address@@: @@臺北市南港區忠孝東路6段250巷1弄@@,
				@@area@@: @@南港區@@
			},
			@@bbox@@: [121.58887, 25.04829, 121.58887, 25.04829]
		},",,,
20,福中公園,士林區,臺北市士林區福港街129巷及107巷交會處,121.51895,25.08827,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51895, 25.08827]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@福中公園@@,
				@@address@@: @@臺北市士林區福港街129巷及107巷交會處@@,
				@@area@@: @@士林區@@
			},
			@@bbox@@: [121.51895, 25.08827, 121.51895, 25.08827]
		},",,,
21,玉成公園,南港區,臺北市南港區中坡南路55號,121.5857,25.04276,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5857, 25.04276]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@玉成公園@@,
				@@address@@: @@臺北市南港區中坡南路55號@@,
				@@area@@: @@南港區@@
			},
			@@bbox@@: [121.5857, 25.04276, 121.5857, 25.04276]
		},",,,
22,石牌公園,北投區,臺北市北投區石牌路1段39巷內,121.50957,25.11741,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.50957, 25.11741]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@石牌公園@@,
				@@address@@: @@臺北市北投區石牌路1段39巷內@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.50957, 25.11741, 121.50957, 25.11741]
		},",,,
23,立農公園,北投區,臺北市北投區承德路7段與吉利街口,121.50356,25.11907,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.50356, 25.11907]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@立農公園@@,
				@@address@@: @@臺北市北投區承德路7段與吉利街口@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.50356, 25.11907, 121.50356, 25.11907]
		},",,,
24,四分綠地,南港區,臺北市南港區研究院路2段182巷58弄旁,121.61463,25.03628,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.61463, 25.03628]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@四分綠地@@,
				@@address@@: @@臺北市南港區研究院路2段182巷58弄旁@@,
				@@area@@: @@南港區@@
			},
			@@bbox@@: [121.61463, 25.03628, 121.61463, 25.03628]
		},",,,
25,磺港公園,北投區,臺北市北投區磺港路與大興街交叉口,121.50429,25.13086,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.50429, 25.13086]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@磺港公園@@,
				@@address@@: @@臺北市北投區磺港路與大興街交叉口@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.50429, 25.13086, 121.50429, 25.13086]
		},",,,
26,永盛公園,中山區,臺北市中山區中山北路2段93巷26、40號間,121.52484,25.05909,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52484, 25.05909]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@永盛公園@@,
				@@address@@: @@臺北市中山區中山北路2段93巷26、40號間@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.52484, 25.05909, 121.52484, 25.05909]
		},",,,
27,大佳河濱公園,中山區,臺北市中山區濱江街,121.52962,25.07518,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52962, 25.07518]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@大佳河濱公園@@,
				@@address@@: @@臺北市中山區濱江街@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.52962, 25.07518, 121.52962, 25.07518]
		},",,,
28,中安公園,中山區,臺北市中山區中山北路2段65巷2弄內,121.52404,25.05655,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52404, 25.05655]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@中安公園@@,
				@@address@@: @@臺北市中山區中山北路2段65巷2弄內@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.52404, 25.05655, 121.52404, 25.05655]
		},",,,
29,樹德公園,大同區,臺北市大同區大龍街129號,121.51629,25.06693,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51629, 25.06693]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@樹德公園@@,
				@@address@@: @@臺北市大同區大龍街129號@@,
				@@area@@: @@大同區@@
			},
			@@bbox@@: [121.51629, 25.06693, 121.51629, 25.06693]
		},",,,
30,景化公園,大同區,臺北市大同區伊寧街9巷(景化街巷弄中),121.51276,25.06541,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51276, 25.06541]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@景化公園@@,
				@@address@@: @@臺北市大同區伊寧街9巷(景化街巷弄中)@@,
				@@area@@: @@大同區@@
			},
			@@bbox@@: [121.51276, 25.06541, 121.51276, 25.06541]
		},",,,
31,朝陽公園,大同區,臺北市大同區重慶北路2段64巷口,121.51315,25.05599,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51315, 25.05599]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@朝陽公園@@,
				@@address@@: @@臺北市大同區重慶北路2段64巷口@@,
				@@area@@: @@大同區@@
			},
			@@bbox@@: [121.51315, 25.05599, 121.51315, 25.05599]
		},",,,
32,大安國小,大安區,臺北市大安區臥龍街129號,121.54966,25.01955,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.54966, 25.01955]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@大安國小@@,
				@@address@@: @@臺北市大安區臥龍街129號@@,
				@@area@@: @@大安區@@
			},
			@@bbox@@: [121.54966, 25.01955, 121.54966, 25.01955]
		},",,,
33,和平實驗小學,大安區,臺北市大安區敦南街76巷28號,121.54671,25.02077,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.54671, 25.02077]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@和平實驗小學@@,
				@@address@@: @@臺北市大安區敦南街76巷28號@@,
				@@area@@: @@大安區@@
			},
			@@bbox@@: [121.54671, 25.02077, 121.54671, 25.02077]
		},",,,
34,建安國小,大安區,臺北市大安區大安路2段99號,121.54615,25.02941,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.54615, 25.02941]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@建安國小@@,
				@@address@@: @@臺北市大安區大安路2段99號@@,
				@@area@@: @@大安區@@
			},
			@@bbox@@: [121.54615, 25.02941, 121.54615, 25.02941]
		},",,,
35,花博公園美術園區,中山區,臺北市中山區中山北路以東民族東路以北(原民族公園),121.52375,25.06884,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52375, 25.06884]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@花博公園美術園區@@,
				@@address@@: @@臺北市中山區中山北路以東民族東路以北(原民族公園)@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.52375, 25.06884, 121.52375, 25.06884]
		},",,,
36,象山公園,信義區,臺北市信義區信義路5段150巷旁,121.57002,25.03017,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.57002, 25.03017]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@象山公園@@,
				@@address@@: @@臺北市信義區信義路5段150巷旁@@,
				@@area@@: @@信義區@@
			},
			@@bbox@@: [121.57002, 25.03017, 121.57002, 25.03017]
		},",,,
37,士林4號廣場,士林區,臺北市士林區福林路與雨農路交叉口,121.53221,25.09612,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.53221, 25.09612]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@士林4號廣場@@,
				@@address@@: @@臺北市士林區福林路與雨農路交叉口@@,
				@@area@@: @@士林區@@
			},
			@@bbox@@: [121.53221, 25.09612, 121.53221, 25.09612]
		},",,,
38,榮星公園,中山區,臺北市中山區民權東路與建國北路交叉口,121.53847,25.06382,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.53847, 25.06382]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@榮星公園@@,
				@@address@@: @@臺北市中山區民權東路與建國北路交叉口@@,
				@@area@@: @@中山區@@
			},
			@@bbox@@: [121.53847, 25.06382, 121.53847, 25.06382]
		},",,,
39,碧湖公園,內湖區,臺北市內湖區內湖路2段175號(國立臺灣戲曲學院旁),121.58574,25.08221,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.58574, 25.08221]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@碧湖公園@@,
				@@address@@: @@臺北市內湖區內湖路2段175號(國立臺灣戲曲學院旁)@@,
				@@area@@: @@內湖區@@
			},
			@@bbox@@: [121.58574, 25.08221, 121.58574, 25.08221]
		},",,,
40,中研公園,南港區,臺北市南港區研究路2段12巷58弄,121.61314,25.04676,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.61314, 25.04676]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@中研公園@@,
				@@address@@: @@臺北市南港區研究路2段12巷58弄@@,
				@@area@@: @@南港區@@
			},
			@@bbox@@: [121.61314, 25.04676, 121.61314, 25.04676]
		},",,,
