SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE000164,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,健康新城-W-健康路,TAIFO,,105,臺北市,松山區,105臺北市松山區健康路195號候車亭,121.56221,25.054199,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Jiankang New Village W-Jiankang rd.,Taipei City,Songshan District,"The bus station near No. 195, Jiankang Rd., Songshan District, Taipei City 105, Taiwan,  (R.O.C.)"
TPEE000165,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,西松國小-N-三民路,TAIFO,,105,臺北市,松山區,105臺北市松山區三民路38號旁候車亭,121.5639287,25.0531648,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Xisong Elementary School N-Sanmin rd.,Taipei City,Songshan District," The bus station near No. 38, Sanmin Rd., Songshan Dist., Taipei City 105 , Taiwan (R.O.C.)"
TPEE000166,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,發電所(西松高中)-N-塔悠路,TAIFO,,105,臺北市,松山區,105臺北市松山區塔悠路157號旁候車亭,121.5699569,25.0550042,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Power Sta.(Xisong High School)-N-Tayou rd.,Taipei City,Songshan District,"The bus station next to No. 157, Tayou Rd., Songshan Dist., Taipei City?105?, Taiwan (R.O.C.)"
TPEE000168,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,塔悠路-N-塔悠路,TAIFO,,105,臺北市,松山區,105臺北市松山區塔悠路311號旁邊候車亭,121.5688233,25.0610086,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Tayou Rd. N-Tayou rd.,Taipei City,Songshan District,"The bus station near No. 311, Tayou Rd., Songshan District, Taipei City 105, Taiwan,  (R.O.C.)"
TPEE000169,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,永吉國中-W-松隆路,TAIFO,,110,臺北市,信義區,110臺北市信義區松隆路208號對面候車亭,121.5730846,25.0474999,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Yong-Ji Junior High School-W-Songlong Road,Taipei City,Xinyi District,"The bus station on the opposite side of No. 208, Songlong Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)"
TPEE000170,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,雅祥公園-S-松信路,TAIFO,,110,臺北市,信義區,110臺北市信義區松信路55號對面候車亭,121.5720915,25.0475874,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Yaxiang Park-S-Songxin Road,Taipei City,Xinyi District,"The bus station on the opposite side of No. 55, Songxin Rd., Xinyi Dist., Taipei City 110  , Taiwan (R.O.C.)"
TPEE000171,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,市政府-松壽-W1-松壽路,TAIFO,,110,臺北市,信義區,110臺北市信義區市府路1號南側(松壽路)候車亭,121.5645472,25.0359621,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Municipal Government-Songshou-W1-Songshou Road,Taipei City,Xinyi District,"The bus station, South Side No. 1, Shifu Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)。"
TPEE000172,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,松山高中-松隆-W-松隆路,TAIFO,,110,臺北市,信義區,110臺北市信義區松隆路29號前方候車亭,121.5675868,25.0437932,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Songshan High School-Songlong-W-Songlong Road,Taipei City,Xinyi District,"The bus station front of No. 29, Songlong Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)"
TPEE000173,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,福德國小-E-福德街,TAIFO,,110,臺北市,信義區,110臺北市信義區福德街304號對面候車亭,121.5873178,25.0392232,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Fude Primary School-E-Fude St., Xinyi Dist.",Taipei City,Xinyi District,"The bus station on the opposite side of No. 304, Fude St., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
TPEE000175,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,市政府(市府)N1-市府路,TAIFO,,110,臺北市,信義區,110臺北市信義區市府路1號西側旁候車亭,121.5638073,25.0383389,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,City Hall(City Hall)N1 - City Hall Road,Taipei City,Xinyi District,"The bus station next to the west side of No. 1, Shifu Rd., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
