Year(年份),Personal_network_usage_rate(個人網路使用率[%]),Personal_mobile_Internet_access_rate(個人行動上網率[%])
100年,80.1,76.3
101年,78.5,77.4
102年,80.1,81.2
103年,85,92.9
104年,82.6,92.1
105年,85.4,93.4
106年,87,98.7
107年,90.6,99.2
108年,90.5,98
109年,90,-
111年,93.3,-
