Longitude(經度),Latitude(緯度),BSM_BUSSTO(公車站牌位置ID),BSM_CHINES(公車站牌名)
121.5316496,25.0460528,6693,光華商場
121.530339,25.060858,1001090,錦州街口
121.5125439,25.04236855,1848,二二八和平公 
121.569246,25.17930205,161,日月農莊
121.5497685,24.99735785,4877,仙岩公園
121.5242794,25.09591189,569,士林
121.5391745,25.0660885,3986,濱江商圈
121.560532,25.025969,4032,克勤新村
121.50455,25.123072,212,奇岩一站
121.5142,25.138751,20227,北投文物館
121.5031629,25.04159131,1842,臺北護理健康 
121.57136,25.086361,8608,環山路
121.4865198,25.10932167,1000913,萬金路口
121.5772561,24.98646161,14510,政大圖書館
121.57901,25.06541,1032,行忠行愛路口
121.6112205,25.06062032,55005,三重里
121.61237,25.06113,5055,南港抽水站
121.51221,25.14825,4839,觀景台
121.5507487,25.08347246,1264,明水路一
121.5229573,25.12012102,14629,榮光新村(榮總 
121.541114,25.080795,9441,通北街口
121.590992,25.082457,1000018,內湖派出所
121.567545,25.140873,841,菁山里(三)
121.5000398,25.14077962,3990,復興中學
121.5011028,25.03835449,1783,桂林路
121.519476,25.10208277,14672,臺灣戲曲中心
121.5363582,24.99578062,2466,景福街
121.518405,25.04482,1890,臺北車站(青島)
121.49716,25.03317,20354,時報大樓
121.564779,25.012322,2171,黎安里
121.4889321,25.10180107,942,臨江園
121.4995807,25.138719,5059,大同街口
121.5142513,25.09318847,1000964,士林監理站
121.5738148,25.16704819,936,擎天崗
121.561662,25.023046,2074,玄覺寺
121.561985,24.986706,4818,老人自費安養 
121.5766134,25.12977459,9479,平等國小
121.493016,25.034006,1000096,華江派出所
121.500823,25.159885,394,清天宮
121.5298481,25.04934483,1290,長安國小(吉林)
121.5003392,25.10289505,7225,洲美里
121.568237,25.11695643,9463,前半嶺
121.5056424,25.04058647,1774,長沙街
121.5410055,25.06578312,1000862,行仁里
121.5335643,25.06493045,16266,中山區公所
121.5388477,24.99368809,2487,溪口國小
121.596034,25.050778,1001045,衛生福利部
121.5097962,25.02375048,1817,萬華醫院
121.5824522,25.06426861,1001443,精技大樓
121.544836,25.163093,82,陽明書屋
121.504159,25.13769646,7210,新北投
121.521957,25.118587,20240,振興街
121.522741,25.101765,14673,捷運芝山站(福 
121.549305,25.14810849,944,聯勤陽明山招 
121.4906879,25.02489835,1760,和德里
121.55992,25.12022,688,光興宮
121.516907,25.044148,1884,臺北車站(公園)
121.525984,25.117695,1000567,天壽里
121.50816,25.125899,213,奇岩新村
121.52972,25.10825396,4710,德行忠誠路口
121.56668,25.11377,9485,沙崙
121.5010377,25.12562923,20369,捷運奇岩站(北 
121.550946,24.99552031,4879,麥田紫藤
121.57406,25.13507,14410,陳厝
121.5360882,25.00487349,1001479,萬福國小
121.564211,25.143649,1001453,菁山里(一)
121.470878,25.10818754,911,台北海大
121.500054,25.102895,1001350,洲美里
121.5845822,24.98620235,1001387,政大二街
121.533523,25.119871,14674,天山里
121.5870158,25.12283271,704,妙法寺
121.5131465,25.04268618,6686,衡陽路口
121.555073,25.129286,873,新安路六
121.5381529,25.02641139,6022,龍門國中(建國)
121.593177,25.084374,50423,捷運內湖站(內 
121.525496,25.123541,14619,福德廟(石牌)
121.4693711,25.12265072,1000391,關渡路口
121.5725398,25.12292588,9474,大坪尾
121.5630728,25.07681342,1102,堤頂大道口
121.547521,25.176902,592,小油坑服務站
121.507436,25.04198393,1753,西門市場(漢中)
121.5306944,25.01407677,1918,自來水博物館( 
121.51751,25.03787,2003,景福門
121.5370243,25.10351315,55009,岩山里一
121.5493092,25.07740183,1268,明水路三
121.620662,25.041123,50094,舊莊公園
121.57844,25.137796,2012,平菁街93巷
121.523106,25.150479,20300,十八份
121.497706,25.01987,4622,果菜市場
121.58175,25.074753,1011,瑞陽三號公園
121.530233,25.061044,1001085,錦州街口
121.513166,25.044468,1963,重慶南路一段
121.533227,25.121666,14675,東和公園
121.5468423,25.15835463,833,童軍站
121.50781,25.14134,461,源之鄉
121.5564885,25.07240355,1000812,下塔悠
121.5157,25.029828,1916,自來水西分處( 
121.5369296,25.1033404,712,岩山里一
121.58479,25.07507,20404,紫陽
121.4733076,25.13968684,328,荒山劇場
121.585283,25.064815,996,新湖行善路口
121.537138,25.05272,1296,長春國小
121.5754294,25.03799611,2031,土地銀行
121.6233788,25.03921911,50093,舊莊站
121.573679,25.184047,20333,下七股(花藝村 
121.519461,25.043292,227,立法院
121.564905,25.012278,4163,黎安里
121.5732578,25.13076683,775,倫仔尾
121.551486,25.072106,1000803,飛航服務總台
121.5752785,24.9796882,14694,研創中心
121.605405,24.970358,327,草湳
121.510302,25.136668,163,地熱谷
121.5836337,24.97630262,2398,指南國小
121.5117974,25.05442784,5999,南京西路口(鈕 
121.5788474,24.97014249,1001386,望遠亭(老泉里)
121.589564,25.06332747,4811,石潭成功路口
121.557823,25.044387,1736,市民光復路口
121.50117,25.12874,395,清江里
121.573657,25.122375,9495,大坪尾一
121.5747222,25.03522749,20346,興雅國中
121.502937,25.137791,456,新北投
121.57431,25.130936,1000790,合誠宮
121.53593,25.16028,1001461,陽明公園後門
121.56444,25.12654,626,公館里
121.524811,25.042011,1903,臺北商大(濟南)
121.582373,25.06437985,1139,精技大樓
121.61747,25.073926,50422,安泰里
121.56062,25.02437,2175,黎雙公園
121.5544352,25.13126288,868,新安里西站
121.568613,24.972909,2439,救千宮
121.5674078,25.03578411,2105,松壽路口
121.6122022,25.03332937,1688,軍人公墓(正門)
121.5468802,24.99558431,1001339,景華街一
121.513898,25.137551,285,春天酒店
121.52812,25.13051,7215,行義路
121.582062,25.060371,4814,潭美國小(行善)
121.5112448,25.05689799,1451,迪化街
121.4844179,25.10552589,828,富洲里八段
121.507572,25.139399,1001295,新民國中
121.4987222,25.13255497,359,捷運北投站(育 
121.556957,24.999864,4065,捷運萬芳醫院 
121.5768181,25.05312302,1034,行善宮
121.615619,25.072024,4974,安湖站
121.55368,25.11927,60148,新安路一
121.5835283,24.9852589,2416,政大學苑
121.616103,25.059729,4899,捷運南港軟體 
121.5201127,25.07609244,4045,承德橋站
121.585553,25.064213,4821,行善石潭路口
121.5492779,25.14304495,14423,陽明山中國大 
121.528583,25.068237,1361,新生公園
121.512879,25.031565,6717,建國中學(歷史 
121.5972723,25.06226309,50440,蘆洲里
121.5471428,25.13806253,14418,山仔后
121.5904537,25.0814547,8611,內湖派出所一
121.5532208,25.01976878,20295,樂業街
121.539446,25.14391644,1000414,頂半嶺
121.5535638,25.11928322,869,新安路一
121.6216967,25.03105096,4727,臨時站四
121.5125048,25.04514572,1821,漢口街
121.5079487,25.0567479,16251,大稻埕碼頭
121.4960968,25.02660912,1824,聚福宮
121.5137029,25.03538877,1878,臺北市立大學
121.5355684,25.00301233,1001485,市立圖書館(景 
121.4991884,25.107864,291,洲美運動公園
121.5630983,25.16749409,702,冷水坑(往擎天 
121.5180233,25.11859696,14624,榮總
121.5571034,25.08270203,4073,美麗華(樂群)
121.58984,25.00717,56113,福德坑環保復 
121.5102175,25.04227397,2020,衡陽路
121.4669831,25.13099161,4780,鷺鷥草原
121.55418,25.1158,663,永公路二
121.5872664,24.98565649,2420,政大御花園
121.594985,25.050244,1001044,衛生福利部
121.5445172,24.99715575,57706,景興國中
121.5080436,25.08869532,5034,社子市場二
121.569807,25.10657,50534,大崙尾山
121.5513971,25.00281758,20384,福興路口
121.57337,25.184215,50527,下七股(花藝村 
121.56712,25.07768,4761,金泰公園
121.5109628,25.06802604,5993,天師宮
121.5934956,24.9693274,57703,茶推廣中心
121.62277,25.03833,50028,舊莊
121.56061,25.00544,20414,靈糧山莊
121.52607,25.09323,13110,捷運士林站
121.5695497,25.04479737,2104,松隆路口
121.5475849,24.99817823,1001340,景華街
121.4671973,25.1229405,1000390,知行路口
121.569361,25.012332,2164,慈恩園
121.5286969,25.15435726,5017,風尾
121.538086,25.15867779,5019,大坑廟
121.596088,25.00415386,5002,富德里
121.616413,25.077692,50512,安泰街129巷
121.5042643,25.11585613,286,立賢路口
121.6153361,25.05979298,1700,捷運南港軟體 
121.5296397,25.07107365,4686,林安泰古厝
121.58288,25.11915,879,楓林橋
121.589001,25.095894,1000566,圓覺寺
121.5753578,25.12888113,960,鵝尾山步道口
121.5996591,25.08818957,1001298,大湖國小
121.581141,25.036858,6932,松友新村
121.5009758,25.12998861,357,中央南大興街 
121.5374096,25.03128552,2288,建國南路
121.509726,25.137937,1001330,公民會館(北投 
121.546521,25.179996,20313,小油坑
121.605524,24.970449,1001398,草湳
121.528123,25.126212,536,磺溪
121.513187,25.04560739,1962,重慶南路一段
121.5124607,25.14078859,7220,林泉里
121.4660668,25.13128432,2715,北藝大藝文生 
121.500142,25.1404258,414,復興中學
121.579379,24.986195,2364,小坑口
121.557134,25.025888,4785,嘉興里
121.5125579,25.05188337,1436,延平一站(長安)
121.592497,25.122025,9455,帕米爾公園
121.5390163,25.15410423,4860,陽明山立體停 
121.503998,25.13433201,121,北投國中
121.5102807,25.08873631,742,社正路
121.583778,25.116994,9458,楓林橋
121.578335,25.036576,1000667,松山商職(松山)
121.53487,25.15944,1001460,陽明公園後門 
121.531685,25.014457,1000802,自來水博物館( 
121.5209247,25.08136678,818,通河街(承德)
121.5154943,25.04345382,6687,博物館(襄陽)
121.5308026,25.04831579,1289,長安國小(長安)
121.4880197,25.13848132,3964,製片廠
121.6103621,25.0594984,50107,三重里
121.499973,25.033084,6403,萬華車站
121.518684,25.094912,4647,士林站
121.54109,25.151749,228,橫嶺古道
121.51031,25.05265,20402,南京西路口(塔 
121.55439,25.11594,14415,永公路二
121.660484,25.024808,1000902,余氏古厝
121.623374,25.026299,4729,山豬窟
121.519898,25.030765,1980,羅斯福寧波街 
121.558548,24.993703,1001335,臨時站
121.5007597,25.03283797,6401,萬華車站
121.4725304,25.10658037,783,浮線
121.5411816,24.99239053,2379,文山二分局
121.5704345,25.05212601,1000216,南松山(塔悠)
121.5367381,25.11014026,748,芝山國小
121.553879,25.044634,1001118,市民延吉街口
121.614,25.07806,4840,安泰橋
121.5805329,24.98236723,1001463,政大威秀
121.49501,25.024334,20243,民和街口
121.56151,25.11212,627,內雙溪橋
121.5045751,25.09223175,667,永平街口
121.5453308,25.16067226,693,磺仔外
121.522462,25.114617,242,明德路267巷
121.5014897,25.12753008,453,慈后宮
121.6638069,25.02743173,1692,茶葉製造示範 
121.5341552,25.06447825,1192,中山區公所
121.5110617,25.06649613,5994,延平國小
121.505326,25.121301,387,捷運唭哩岸站 
121.5367844,25.06588721,1208,臺北漁市
121.54729,25.00050231,1001103,興隆市場後站
121.57809,25.13913,9477,平菁街93巷二
121.584378,24.985826,6728,政大二街
121.5031133,25.03112514,1797,莒光派出所
121.504003,25.043299,1754,西門國小
121.55232,25.02513,4863,主教公署
121.513268,25.029304,1001394,建國中學
121.5319793,25.15990931,1001468,圳內
121.51811,25.02870615,2026,聯合醫院婦幼 
121.616222,25.035059,1621,九如里二
121.5484362,25.00212044,1001336,敦南203巷
121.5273682,25.101165,1000290,芝山抽水站
121.5387,25.15771,1001462,湖山路二段
121.59539,24.96796,2543,貓空站(小天空 
121.5320511,25.04034396,1000310,新生南路一段
121.53145,25.14365,815,第二展望
121.56987,25.11467,744,雙溪淨水場
121.579639,25.058701,20241,舊宗路一段(行 
121.465328,25.118495,547,關渡宮
121.544342,25.1617376,14488,氣象台
121.5442023,25.16110668,60108,氣象台
121.505237,25.045991,4616,漢口街
121.4788711,25.10594443,5972,下溪沙尾
121.53734,25.14761,1001793,吳厝
121.597173,25.13225,9456,風櫃嘴
121.5304614,25.04274852,1930,忠孝國小
121.502643,25.021587,4609,青年公宅
121.5610664,25.15170188,883,菁山遊憩區一
121.5306212,25.06499587,16260,農安街吉林路 
121.545125,25.045144,1001120,微風廣場
121.542733,25.072266,1181,大直橋
121.5311063,25.04304317,3935,忠孝國小
121.592291,24.970627,56092,天恩宮
121.500599,25.028737,4639,西藏路口
121.465652,25.127548,1000909,學園路口
121.589075,25.012464,1706,富德公墓28區
121.5051848,25.13697571,1001328,北投公園(中山)
121.5114075,25.05790908,1418,民生西路口(大 
121.6192652,25.07147314,1000734,康樂街
121.58686,24.97012,2399,田寮橋
121.534262,25.177549,1001323,湖田區民活動 
121.523804,25.138612,50064,陽明山靈骨塔
121.5936493,25.05819293,5049,溫歌華社區
121.5133849,25.07204972,1000341,酒泉街
121.551902,25.019682,100014568,黎明社教中心
121.5803571,24.96939838,2432,樟樹步道南口
121.57076,25.11859,905,福德宮
121.513547,25.06685,16202,昌吉重慶路口( 
121.55056,25.11433659,899,福音
121.536153,25.06481951,1321,建國農安街口
121.530327,25.124606,14669,天母公園
121.5372345,25.06609277,1210,臺北漁市
121.4953,25.0362,3945,龍山國小
121.5256716,25.09286383,583,士林區農會
121.497724,25.135862,36,大業中央北路 
121.5292193,25.12308893,4992,合庫訓練中心
121.589432,25.012264,4858,富德公墓28區
121.568264,25.038732,14234,消防局(松仁)
121.5116211,25.05454715,1445,南京西路口(鈕 
121.5791369,25.00082073,309,風動石
121.6636642,25.02730773,50110,茶葉製造示範 
121.55124,25.139787,851,陽明山泉
121.5573339,25.10917798,602,大經橋
121.53073,25.15791,1001469,內埔
121.52148,25.14374,1001471,彌陀寺(硫磺谷)
121.514556,25.12313,4845,陽明大學實驗 
121.4664416,25.11931516,459,敬老院
