SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000631,臺北市政府公共運輸處,福山抽水站-N-福山街,TAIFO,南港區,115臺北市南港區大坑街、研究院路二段35巷口東南側候車亭,121.617347,25.046459
TPEE000632,臺北市政府公共運輸處,捷運後山埤站(玉成)-玉成街,TAIFO,南港區,115臺北市南港區玉成街136號對面候車亭,121.5831568,25.0451946
TPEE000633,臺北市政府公共運輸處,西園29服飾基地-N-西園路二段,TAIFO,萬華區,108臺北市萬華區西園路二段32號旁候車亭,121.497734,25.032466
TPEE000634,臺北市政府公共運輸處,西園29服飾基地-S-西園路二段,TAIFO,萬華區,108臺北市萬華區西園路二段32號斜對面候車亭,121.4974437,25.0325043
TPEE000635,臺北市政府公共運輸處,青年路派出所-E-萬大路,TAIFO,萬華區,108臺北市萬華區萬大路423巷110號候車亭,121.502059,25.021945
TPEE000636,臺北市政府公共運輸處,綜合市場-N-環河南路二段,TAIFO,萬華區,108臺北市萬華區環河南路二段312號對面候車亭,121.490455,25.030855
TPEE000638,臺北市政府公共運輸處,光仁國小-E-萬大路,TAIFO,萬華區,108臺北市萬華區萬大路423巷33號對面候車亭,121.500053,25.021064
TPEE000639,臺北市政府公共運輸處,峨嵋街口(中醫院區)-N-康定路,TAIFO,萬華區,108臺北市萬華區康定路19號前候車亭,121.5030247,25.0449232
TPEE000640,臺北市政府公共運輸處,國興路口-S-中華路二段,TAIFO,萬華區,108臺北市萬華區中華路二段520號前候車亭,121.5083187,25.0255882
TPEE000642,臺北市政府公共運輸處,青年公園(國興)-S-國興路,TAIFO,萬華區,108臺北市萬華區國興路46號對面候車亭,121.5071372,25.025326
TPEE000643,臺北市政府公共運輸處,中華南海路口-N-中華路二段,TAIFO,萬華區,108臺北市萬華區中華路二段337號旁候車亭,121.5066916,25.0271855
TPEE000644,臺北市政府公共運輸處,時報大樓-E-艋舺大道,TAIFO,萬華區,108臺北市萬華區艋舺大道297號對面候車亭,121.497016,25.032936
