,士林,大同,大安,中山,中正,內湖,文山,北投,松山,信義,南港,萬華
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,2,1,,,,,,,
,,,,1,3,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,0,,,,,,,
,,,,0,1,,,,,,,
,,,,1,1,,,,,,,
,,,,28,1,,,,,,,
,,,,5,1,,,,,,,
,,,,,1,,,,,,,
,,,,,1,,,,,,,
,,,,,1,,,,,,,
,,,,,100,,,,,,,
,,,,,25,,,,,,,
,,,,,18,,,,,,,
,,,,,3,,,,,,,
,,,,,10,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,740,339,482,458,931,449,550,513,573,1005,388,413
