ID(序號),Year(年/季),Area(行政區),Total(總人數),Male(男生人數), Female(女生人數)
144,108年第4季, 北投區,276,136,140
145,109年第1季, 松山區,387,143,244
146,109年第1季, 信義區,344,134,210
147,109年第1季, 大安區,707,260,447
148,109年第1季, 中山區,536,237,299
149,109年第1季, 中正區,408,192,216
150,109年第1季, 大同區,337,219,118
151,109年第1季, 萬華區,1161,739,422
152,109年第1季, 文山區,529,215,314
153,109年第1季, 南港區,232,100,132
154,109年第1季, 內湖區,223,100,123
155,109年第1季, 士林區,470,225,245
156,109年第1季, 北投區,284,141,143
157,109年第2季, 松山區,390,143,247
158,109年第2季, 信義區,352,138,214
159,109年第2季, 大安區,717,262,455
160,109年第2季, 中山區,546,241,305
161,109年第2季, 中正區,410,190,220
162,109年第2季, 大同區,370,237,133
163,109年第2季, 萬華區,1200,752,448
164,109年第2季, 文山區,531,215,316
165,109年第2季, 南港區,255,117,138
166,109年第2季, 內湖區,251,118,133
167,109年第2季, 士林區,464,221,243
168,109年第2季, 北投區,284,142,142
